id,Project Name,Subtype,Current Status,Capacity (MW),Year of Completion,Country list of Sponsor/Developer,Sponsor/Developer Company,Country list of Lender/Financier,Lender/Financier Company,Country list of Construction/EPC,Construction Company/EPC Participant,Country,Province/State,District,Tributary,Latitude,Longitude,Proximity,Avg. Annual Output (MWh),Data Source,Announcement/More Information,Link,Latest Update
1,300 MW Attapeu & Borikhamxay,Solar,Planned,250.0,2019,,,,,,,Laos,Vientiane [prefecture],Chanthabuly,Mekong Mainstream - Lower,17.99989,102.626,"Actual location unknown, currently sited at locality in link/announcement",,IUCN,Extracted from IUCN; http://annx.asianews.network/content/laos-attapeu-borikhamxay-anticipate-sun-shining-solar-project-55201; http://kpl.gov.la/En/Detail.aspx?id=27627; http://www.convalt.com/loa-solar-hte.html; http://www.investlaos.gov.la/index.php/ne,,
2,300 MW Attapeu & Borikhamxay,Solar,Planned,50.0,2019,USA,Convalt Energy LLC (USA),,,,,Laos,Attapu,Samakkhixay,Sekong,14.81831,106.8238,"Actual location unknown, currently sited at locality in link/announcement",,IUCN,Extracted from IUCN; http://annx.asianews.network/content/laos-attapeu-borikhamxay-anticipate-sun-shining-solar-project-55201; http://kpl.gov.la/En/Detail.aspx?id=27627; http://www.convalt.com/loa-solar-hte.html; http://www.investlaos.gov.la/index.php/ne,,
3,A Luoi,Hydro,Operational,170.0,2012,Vietnam,Central Region Hydropower JSC,,,Vietnam,VINAINCON,Vietnam,Thừa Thiên Huế,A Lưới,Sekong,16.19762,107.1619,,,Vietnam Electricity,https://en.evn.com.vn/userfile/User/huongbtt/files/2018/1/Quyetinh95CUCDTDL2017.pdf; https://data.mendeley.com/datasets/ht9k5p3vdb/1,https://wle-mekong.cgiar.org/construction-of-nam-chien-Hydropower-project-begins/,03/31/2021
4,A Vuong,Hydro,Operational,210.0,2008,Vietnam,A Vuong Hydro Power JSC,,,Japan; Vietnam,"Sumitomo, Licogi",Vietnam,Quảng Nam,Đông Giang,Song Giang,15.7998,107.6171,,,Wikipedia,https://www.licogi166.vn/en/cong-trinh-thuy-dien-a-vuong-a62.html; https://data.mendeley.com/datasets/ht9k5p3vdb/1,,03/31/2021
5,A.T. Biopower Rice Husk Power Project,Biomass,Operational,22.5,2004,Thailand,A.T. Biopower,,,,,Thailand,Phichit,Bang Mun Nak,Nan,16.07127,100.3964,,,UNFCCC,Rice husk,https://cdm.unfccc.int/Projects/DB/DNV-CUK1174909241.2/view,
6,Active Synergy Landfill Gas Power Generation Project,Waste,Unknown,1.04,,Thailand,"Active Synergy Co., Ltd.",,,United Kingdom,EDF Trading Ltd (EDFT),Thailand,Nakhon Pathom,Kamphaeng Saen,Tha Chin,14.06782,99.96933,,,UNFCCC,Landfill gas collection,https://cdm.unfccc.int/Projects/DB/TUEV-RHEIN1271901107.75/view,
7,Advanced Wastewater Management at Rajburi Ethanol Plant,Waste,Unknown,,,Thailand,Rajburi Ethanol Co.,,,Sweden,Carbon Asset Management Sweden AB,Thailand,Ratchaburi,Ban Pong,Nam Mae Khlong Mainstem,13.83763,99.85872,,,UNFCCC,Biogas from wastewater from ethanol,https://cdm.unfccc.int/Projects/DB/TUEV-SUED1337330382.67/view,
8,Agricultural cooperative solar project,Solar,Under Construction,5.0,2018,China,ReneSola Ltd (China),,,China,ReneSola Ltd (China),Thailand,Rayong,Muang Rayong,Coastal Rivers Rayong Chon Buri,12.70059,101.133,"Actual location unknown, currently sited at locality in link/announcement",,Renewables Now,https://www.prnewswire.com/news-releases/renesola-awarded-5mw-of-solar-projects-in-thailand-300483314.html,https://renewablesnow.com/news/renesola-wins-5-mw-of-agricultural-pv-projects-in-thailand-575003/;,
9,Ahlone,Gas,Operational,153.0,1995,Myanmar,MEPE (Myanmar),,,,,Myanmar,Yangon,Yangon-E,Irrawaddy Mainstem and Delta,16.78059,96.11212,,,Myanmar Institute for Peace and Security,https://www.industryabout.com/country-territories-3/1986-myanmar/fossil-fuels-energy/30614-ahlone-gas-power-plant,,
10,Ahlone,Gas,Planned,388.0,,Thailand; Japan; Myanmar,"TTCL Myanmar Power Co., Ltd (Thailand, Japan, Myanmar)",,,Thailand,"Toyo-Thai [Italian-Thai Development (Thailand), Toyo Engineering (Japan)]",Myanmar,Yangon,Yangon-W,Irrawaddy Mainstem and Delta,16.77856,96.13066,"Actual location unknown, currently sited at locality in link/announcement",,Myanmar Institute for Peace and Security,http://www.vdb-loi.com/wp-content/uploads/2018/01/Myanmar-Somewhat-Unexpectedly-Signs-4-Major-LNGGas-to-Power-Projects.pdf; https://www.ccifrance-myanmar.org/en/news/ceremony-held-for-lng-projects; https://frontiermyanmar.net/en/thai-firm-sees-progress-o,,
11,Ahlone,Gas,Operational,120.0,2013,Thailand; Japan; Myanmar,"Toyo Thai Power Myanmar Co., Ltd (Thailand, Japan, Myanmar)",,,,,Myanmar,Yangon,Yangon-W,Irrawaddy Mainstem and Delta,16.77856,96.13066,"Actual location unknown, currently sited at locality in link/announcement",,Myanmar Institute for Peace and Security,"http://www.moee.gov.mm/en/ignite/page/288, http://www.ttcl.com/news/daily/view/3; https://energypedia.info/images/4/4c/MOEP_-_Public-private_partnership_development_in_Thermal_Power_Generation%2C_Thermal_Power_Department%2C_Myanmar_Electric_Power_Enterpr",,
12,AJ Technology Company Limited (AJ),Solar,Operational,3.7,2013,Thailand,"AJ Technology Co. Ltd. (Solar Power Asset Co., Ltd., Dr. Art-ong Jumsai No Ayudhya, Mr. Krit Jumsai Na Adhya, Solar Power Co., Ltd.)",,,,,Thailand,Lop Buri,Chai Badan,Pasak,15.10425,101.0768,,,SPC company website,https://www.spcg.co.th/en/getSubsibiaries/35,,
13,Ajinomoto Waste Water Treatment and Biogas Utilization Project,Biomass,Operational,4.0,2008,Japan,"Ajinomoto Co., Ltd.",,,,,Thailand,Kamphaeng Phet,Mueang Kamphaeng Phet,Chao Phraya-Ping,16.33837,99.67564,,,UNFCCC,https://www.ajinomoto.co.jp/company/en/activity/sustainability/ricehusk/,https://cdm.unfccc.int/Projects/DB/KBS_Cert1348557030.37/view,
14,Akekamai-Ramintra Solar Power Plant,Solar,Operational,1.0,,Thailand,Thai Solar Energy Public Company Limited (TSE),,,,,Thailand,Bangkok Metropolis,Khan Na Yao,Chao Phraya-Ping,13.8283,100.6798,,1333.654,World Resources Institute,http://www.thaisolarenergy.com/project.php?menu=future_projects,,
15,Amata,Oil,Operational,13.0,,,,,,,,Vietnam,Đồng Nai,Biên Hòa,Dong Nai,10.9471,106.9,,,World Resources Institute,http://www.evn.com.vn/userfile/files/2017/3/AnnualReport2016.pdf,,
16,Amata B.Grimm,Gas,Operational,732.0,2016,Thailand,B. Grimm Power,,,Japan; Germany; Finland; France,"Siemens, Sumitomo Corporation, Toshiba Plant Systems, Alstom Power, Pöyry Energy",Thailand,Chon Buri,Muang Chon Buri,Chao Phraya-Ping,13.4191,101.0272,,3000949,World Resources Institute,http://www.bgrimmpower.com/power-plants/power-plants-in-operation/; https://investor.bgrimmpower.com/misc/ar/20180326-bgrim-ar2017-en.pdf; https://investor.bgrimmpower.com/misc/presentation/20190521-bgrim-oppday-1q2019-02.pdf,_x0008_,12/28/2020
17,Amata B.Grimm Power (Rayong) 1,Gas,Operational,123.3,2013,Thailand,B.Grimm,,,,,Thailand,Rayong,Pluak Daeng,Coastal Rivers Rayong Chon Buri,12.9679627971364,101.11812949807,,,Sponsor Website,,https://investor.bgrimmpower.com/misc/presentation/20190521-bgrim-oppday-1q2019-02.pdf,12/28/2020
18,Amata B.Grimm Power (Rayong) 2,Gas,Operational,124.4,2013,Thailand,B.Grimm,,,,,Thailand,Rayong,Pluak Daeng,Coastal Rivers Rayong Chon Buri,12.967963,101.118129,,,Sponsor Website,,https://investor.bgrimmpower.com/misc/presentation/20190521-bgrim-oppday-1q2019-02.pdf,12/28/2020
19,Amata B.Grimm Power (Rayong) 3,Gas,Operational,133.0,2018,Thailand,B.Grimm,,,,,Thailand,Rayong,Pluak Daeng,Coastal Rivers Rayong Chon Buri,12.9352080150761,101.098225808375,_x0008_,,Sponsor Website,,https://investor.bgrimmpower.com/misc/presentation/20190521-bgrim-oppday-1q2019-02.pdf,12/28/2020
20,Amata B.Grimm Power (Rayong) 4,Gas,Operational,133.0,2018,Thailand,B.Grimm,,,,,Thailand,Rayong,Pluak Daeng,Coastal Rivers Rayong Chon Buri,12.9351139058471,101.097077822971,_x0008_,,Sponsor Website,,https://investor.bgrimmpower.com/misc/presentation/20190521-bgrim-oppday-1q2019-02.pdf,12/28/2020
21,Amata B.Grimm Power (Rayong) 5,Gas,Operational,133.0,2018,Thailand,B.Grimm,,,,,Thailand,Rayong,Pluak Daeng,Coastal Rivers Rayong Chon Buri,12.9821450513877,101.106913889459,_x0008_,,Sponsor Website,,https://investor.bgrimmpower.com/misc/presentation/20190521-bgrim-oppday-1q2019-02.pdf,12/28/2020
22,An Khanh - Bac Giang (Nhà máy Nhiệt điện An Khánh - Bắc Giang),Coal,Planned,650.0,2023,Vietnam,An Khanh - Bac Giang Thermal Power JSC,China,China Development Bank (CDB); Industrial and Commercial Bank of China (ICBC),,,Vietnam,Bắc Giang,Lục Nam,Song Cau-Song Thuong-Song Luc Nam,21.23212,106.3596,"Actual location unknown, currently sited at locality in link/announcement",5000000,Sponsor Website,http://danviet.vn/doanh-nghiep/nhiet-dien-an-khanh-bac-giang-gop-phan-on-dinh-an-ninh-nang-luong-quoc-gia-975071.html,,
23,An Khanh I (Nhà máy nhiệt điện An Khánh I),Coal,Operational,120.0,2015,Vietnam,An Khanh Electricity JSC,China; Vietnam,"China Communications Bank; Bank of China, China Construction Bank, China Exim Bank, Bank for Investment and Development of Vietnam",China,China People Electricity and Gas Group,Vietnam,Thái Nguyên,Đại Từ,Song Cau-Song Thuong-Song Luc Nam,21.59691,105.7666,,800000,AidData,https://vietnamnews.vn/economy/219017/an-khanh-signs-143m-loan-deal.html; https://www.sourcewatch.org/index.php/An_Khanh_power_station; corroborated by other database; https://www.gem.wiki/An_Khanh_power_station,http://nhietdienankhanh.com.vn/gioi-thieu/gioi-thieu/2.html,03/29/2021
24,An Khanh II (Nhà máy nhiệt điện An Khánh II),Coal,Cancelled,300.0,2023,Vietnam,An Khanh Electricity JSC,,,,,Vietnam,Thái Nguyên,Đại Từ,Song Cau-Song Thuong-Song Luc Nam,21.59691,105.7666,,,Sourcewatch,http://baothainguyen.org.vn/tin-tuc/cong-nghiep/nhiet-dien-an-khanh-khang-dinh-vi-the-o-%E2%80%9Csan-choi%E2%80%9D-chung-256929-46245.html; https://www.gem.wiki/An_Khanh_power_station,,03/29/2021
25,An Khe - Kanak (Thủy điện An Khê - Kanak),Hydro,Operational,173.0,2011,Vietnam,An Khe - Ka Nak Hydro Power Co.,,,,,Vietnam,Gia Lai,KBang,Song Da Rang-Song Ba,14.17611,108.5772,,694000,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/an-khe-kanak-Hydropower,https://vi.wikipedia.org/wiki/Th%E1%BB%A7y_%C4%91i%E1%BB%87n_An_Kh%C3%AA_-_Kanak,
26,An Khe Biomass Power #1 Expansion (Nhà máy điện sinh khối An Khê),Biomass,Operational,95.0,2017,Vietnam,Quang Ngai Sugar Cane JSC,Vietnam,Quang Ngai Sugar Cane JSC,,,Vietnam,Gia Lai,An Khê,Song Da Rang-Song Ba,13.98589,108.6611,,,National Power Development Plan VII,"http://vneec.gov.vn/tin-tuc/energy-database/t23093/an-khe-biomass-power-plant-in-master-planning.html
http://qns.com.vn/language/en-US/%C4%90V-Th%C3%A0nh-vi%C3%AAn.aspx",,
27,Ang Thong Solar Power Plant,Solar,Operational,1.2,,Thailand,"Bangkok Solar Power Company, Ltd.",,,,,Thailand,Ang Thong,Muang Ang Thong,Chao Phraya-Ping,14.5894,100.4761,,1600.385,World Resources Institute,http://www.bangkoksolarpower.com/en/reference_project,,
28,Angkor Biomass,Biomass,Operational,2.0,2011,Cambodia,"Angkor Bio Cogen Co., Ltd.",Japan; Sweden,Mitsubishi UFJ Morgan Stanley Securities Co Ltd (Japan);  ADB as Trustee of the Future Carbon Fund; Swedish Energy Agency (Sweden),,,Cambodia,Kandal,Angk Snuol,Mekong Mainstrem - Lower Tonle Sap,11.5123,104.7165,,,World Resources Institute,datasets.wri.org/dataset/globalpowerplantdatabase; https://cdm.unfccc.int/Projects/DB/DNV-CUK1144657688.42/view,,
29,"Angvian Industry Co., Ltd",Biomass,Unknown,30.0,,Thailand,Wangkanai Group,,,,,Thailand,Nakhon Ratchasima,Kaeng Sanam Nang,Mun-Chi,15.73342,102.287,,,EGAT PDP,Bagasse,http://www.egat.co.th/en/images/about-egat/PDP2015_Eng.pdf; http://www.wangkanai.co.th/en/business.html,
30,Anita Asia Rooftop Solar,Solar,Operational,0.0926,2017,Austria; Myanmar,Anita Asia,,,Laos,Sunlabob Renewable Energy Co. (Laos),Myanmar,Yangon,Yangon-N,Irrawaddy Mainstem and Delta,16.95431,96.18635,,,,"https://www.pv-magazine.com/2017/07/04/myanmar-sunlabob-renewable-energy-commissions-92-6-kwp-rooftop-solar/, https://www.sunlabob.com/news-2017/sunlabob-renewable-energy-partners-with-anita-asia-on-rooftop-solar-pv-at-myanmar-garment-factory.html",,
31,Ann,Wind,Planned,120.0,,China,China Three Gorges (China),,,,,Myanmar,Rakhine,Kyaunkpyu,An Chaung,19.76718,94.00079,"Actual location unknown, currently sited at locality in link/announcement",,Myanmar Institute for Peace and Security,http://www.oilseedcrops.org/wp-content/uploads/2013/06/Ministry-of-Electric-Power-Myanmar-Wind-Power-Resources-Survey-2012-.pdf; https://www.asiabiomass.jp/english/topics/1509_05.html,,
32,Ann,Wind,Planned,240.0,,China,China Three Gorges (China),,,,,Myanmar,Rakhine,Kyaunkpyu,An Chaung,19.76718,94.00079,"Actual location unknown, currently sited at locality in link/announcement",,Myanmar Institute for Peace and Security,http://www.oilseedcrops.org/wp-content/uploads/2013/06/Ministry-of-Electric-Power-Myanmar-Wind-Power-Resources-Survey-2012-.pdf; https://www.asiabiomass.jp/english/topics/1509_05.html,,
33,Annchaung,Hydro,Cancelled,10.0,,Myanmar,MOEP,,,,,Myanmar,Rakhine,Kyaunkpyu,An Chaung,19.61413,93.9995,"Actual location unknown, currently sited at locality in link/announcement",,Myanmar Institute for Peace and Security,https://www.ifc.org/wps/wcm/connect/3f136d35-74fe-4601-90f8-4a03c4d22a2b/Chapter+2_SEA+Baseline+Assessment_Hydropower.pdf?MOD=AJPERES,,
34,ANZ bank project,Solar,Operational,0.09,2016,Laos,Sunlabob Renewable Energy (Laos),,,,,Laos,Vientiane [prefecture],Sisattanak,Mekong Mainstream - Lower,17.97611,102.6328,"Actual location unknown, currently sited at locality in link/announcement",,Online,"http://sunlabob.com/news-2016/sunlabob-completes-lao-pdrs-first-ever-commercial-solar-project.html
 https://www.pv-magazine.com/2016/06/16/first-ever-commercial-solar-project-realized-in-laos_100025012/",The project is the first-ever commercial grid-connected solar system in Laos,
35,Auto Alliance Rooftop Solar,Solar,Under Construction,5.0,2021,Thailand,Auto Alliance,,,Thailand,WHA Utilitties and Power Plc,Thailand,Rayong,Pluak Daeng,Coastal Rivers Rayong Chon Buri,13.0066632880568,101.165971137131,,,Bangkok Post,,https://www.bangkokpost.com/business/2053139/whaup-lands-solar-contract-with-aat,03/26/2021
36,Ayun Ha,Hydro,Operational,3.0,,Vietnam,Gia Lai Electricity JSC.,,,,,Vietnam,Gia Lai,Phú Thiện,Ia Ayun-La Khe-Ea Yao,13.5809,108.2592,,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/ayun-ha-Hydropower,,
37,Ayuthaya Mill,Coal,Operational,36.0,2017,Thailand,Hiang Seng Fibre Container Co (Thailand),,,,,Thailand,Phra Nakhon Si Ayutthaya,Bang Sai,Chao Phraya-Ping,14.21667,100.5,,,Global Energy Monitor,http://enipedia.tudelft.nl/wiki/Ayuthaya_Mill_Powerplant,,
38,B&T Wind Farm (Trang trại điện gió B&T),Wind,Planned,352.0,,Philippines,The Ayala Group,,,,,Vietnam,Quảng Bình,Bố Trạch,Song Son,17.61,106.35,"Actual location unknown, currently sited at locality in link/announcement",,Stimson database,http://www.thestandard.com.ph/business/power-technology/269201/ayala-to-build-big-vietnam-wind-project-.html,https://baodautu.vn/nha-dau-tu-philippines-nghien-cuu-dau-tu-dien-gio-dien-mat-troi-tai-quang-binh-d83127.html,
39,B.Grimm BIP,Gas,Operational,230.0,2016,Thailand,B.Grimm,,,,,Thailand,Pathum Thani,Muang Pathum Thani,Chao Phraya-Ping,13.9745,100.5649,,941634.7,World Resources Institute,http://www.bgrimmpower.com/power-plants/power-plants-in-operation/,,12/28/2020
40,B.Grimm Power (Laem Chabang) 1&2,Gas,Operational,159.0,2009,Thailand,B.Grimm,,,,,Thailand,Chon Buri,Si Racha,Coastal Rivers Rayong Chon Buri,13.0913,100.8943,,650956.2,Sponsor Website,https://investor.bgrimmpower.com/misc/presentation/20190521-bgrim-oppday-1q2019-02.pdf,http://www.bgrimmpower.com/power-plants/power-plants-in-operation/,
41,B.Grimm Power (WHA) 1 Limited (Bowin Clean Energy),Gas,Operational,132.0,2017,Thailand,"Bowin Clean Energy, Ltd., Hemaraj Energy, Ltd., B.Grimm Power",,,Finland; Japan,"Pöyry, Sumitomo Corp., Toshiba Plant Systems",Thailand,Chon Buri,Si Racha,Coastal Rivers Rayong Chon Buri,13.0505,101.0859,,540416.5,World Resources Institute,http://www.bgrimmpower.com/power-plants/power-plants-in-operation/; https://www.facebook.com/B.Grimmpowerwha1limited/posts/we-changed-our-name-from-bowin-clean-energy-limited-to-bgrimm-power-wha-1-limite/1177040169061474/; https://www.bgrimmpower.com/en/power-plants/domestic/46/bgrimm-power-wha-1-limited; https://www.wha-industrialestate.com/en/media-activities/news/customer-news/483/bowin-clean-energy-lays-a-foundation-stone-for-power-plant-in-hemaraj-cie; https://www.nationthailand.com/news/30315467,,12/28/2020
42,Ba Ria,Gas,Operational,389.0,,Vietnam,Vietnam Electricity (EVN),,,,,Vietnam,Bà Rịa - Vũng Tàu,Bà Rịa,Coastal Tributaries Ba Ria-Dong Nai-HCMC,10.4891,107.17,,,World Resources Institute,http://www.evn.com.vn/userfile/files/2017/3/AnnualReport2016.pdf,,
43,Ba Thuoc 2,Hydro,Operational,80.0,2013,Vietnam,Hoang Anh Lai,,,,,Vietnam,Thanh Hóa,Bá Thước,Ma mainstem,20.32417,105.3219,,,Vietnam Electricity,https://en.evn.com.vn/userfile/User/huongbtt/files/2018/1/Quyetinh95CUCDTDL2017.pdf; https://data.opendevelopmentmekong.net/vi/library_record/ba-thuoc-2-Hydropower,,
44,Baan-Kluai Solar Power Plant Phase 1 at Gunkul,Solar,Unknown,8.61,,Thailand; United Kingdom,"Gunkul Powergen Co. Ltd., Agrinergy Pte Ltd.",,,,,Thailand,Phetchabun,Chon Daen,Nan,16.04854,100.7449,,12483,UNFCCC,https://cdm.unfccc.int/Projects/DB/LRQA%20Ltd1346679861.43/view,,
45,Baanrai Biomass Power Plant,Biomass,Operational,9.9,2013,Thailand,"Baanrai Electricity Generating Co., Ltd. (subsidiary of Thai Roong Ruang Sugar Group)",,,,,Thailand,Uthai Thani,Ban Rai,Tha Chin,15.01314,99.62373,,,UNFCCC,https://www.bib.co.th/project/baanrai-sugar-industry/,https://cdm.unfccc.int/Projects/DB/LRQA%20Ltd1359378194.83/view,03/18/2021
46,Bac Ai Pumped-Storage Hydropower Project,Hydro,Under Construction,1200.0,2029,Vietnam,EVN,,,Vietnam,"Power Engineering Consulting JSC 4, Construction JSC 47",Vietnam,Ninh Thuận,Bác Ái,Song Cai Phan Rang,11.8441696649849,108.774619236889,"Actual location unknown, currently sited at locality in link/announcement",,Boston University,https://en.evn.com.vn/d6/news/Ceremony-of-implementing-construction-and-launching-emulation-for-completing-discharge-gate-work-cluster-of-Bac-Ai-Pumped-Storage-Hydropower-Project-66-142-1744.aspx,https://data.mendeley.com/datasets/ht9k5p3vdb/1,03/31/2021
47,Bac Binh,Hydro,Operational,33.0,2009,Vietnam,Power Development JSC,,,,,Vietnam,Bình Thuận,Bắc Bình,Song Luy,11.45722,108.3525,_x0008_,,Vietnam Electricity,https://en.evn.com.vn/userfile/User/huongbtt/files/2018/1/Quyetinh95CUCDTDL2017.pdf; https://data.opendevelopmentmekong.net/vi/library_record/bac-binh-Hydropower,,
48,Bac Ha,Hydro,Operational,90.0,,Vietnam,LICOGI,,,,,Vietnam,Lào Cai,Bắc Hà,Song Lo-Nga Tao,22.50703,104.1957,,,Vietnam Electricity,https://en.evn.com.vn/userfile/User/huongbtt/files/2018/1/Quyetinh95CUCDTDL2017.pdf,,
49,Bac Lieu Cai Cung (Nhà máy Nhiệt điện Bạc Liêu - Cái Cùng),Coal,Cancelled,1200.0,2019,Vietnam; Japan,"Nhiệt điện Cái Cùng -- a JV betwen (1)Tập đoàn Điện lực Việt Nam - EVN, (2)Tập đoàn Sojitz Kyushu",,,,,Vietnam,Bạc Liêu,Hoà Bình,Vietnam Mekong Delta,9.165922,105.5751,"Actual location unknown, currently sited at locality in link/announcement",,EVN,https://www.nhandan.com.vn/kinhte/item/32349502-bac-lieu-xin-loai-du-an-nhiet-dien-cai-cung-khoi-quy-hoach.html,,
50,Bac Lieu LNG ((Nhà máy nhiệt điện khí LNG Bạc Liêu) - built in 3 stages,Gas,Planned,3200.0,2027,USA; Vietnam,"Delta Offshore Energy, Viện Năng Lượng (Ministry of Commerce and Trade)",,,,,Vietnam,Bạc Liêu,Hoà Bình,Vietnam Mekong Delta,9.231163,105.6935,"Actual location unknown, currently sited at locality in link/announcement",,Nhan Dan,https://vietnambiz.vn/du-an-dien-khi-lng-4-ty-usd-tai-bac-lieu-co-the-phat-dien-1000-mw-vao-nam-2021-65384.htm; https://www.enerdata.net/publications/daily-energy-news/vietnam-adds-two-lng-power-projects-27-3-gw-national-planning.html,,
